
Image Name                     PID 
ApplicationFrameHost.exe     18772 
SystemSettings.exe           27928 
svchost.exe                   8632 
UserOOBEBroker.exe           25392 
chrome.exe                   15216 
chrome.exe                   28804 
chrome.exe                   16968 
chrome.exe                   21876 
chrome.exe                   26336 
chrome.exe                   24072 
chrome.exe                   30064 
chrome.exe                   26920 
chrome.exe                   28156 
chrome.exe                   27624 
chrome.exe                   24428 
chrome.exe                   24556 
chrome.exe                     376 
WidgetService.exe            24880 
msedgewebview2.exe           23836 
msedgewebview2.exe            7136 
msedgewebview2.exe           28304 
msedgewebview2.exe           25112 
msedgewebview2.exe            4760 
msedgewebview2.exe            3036 
LocationNotificationWindo    16812 
chrome.exe                   11256 
chrome.exe                    7192 
chrome.exe                   24348 
chrome.exe                   12400 
chrome.exe                    3312 
SystemSettingsBroker.exe     28132 
chrome.exe                   12780 
chrome.exe                   17584 
chrome.exe                   29916 
sublime_text.exe             14796 
plugin_host-3.3.exe          21440 
plugin_host-3.8.exe          15684 
chrome.exe                   23436 
conhost.exe                   9604 
pwsh.exe                     17388 
chrome.exe                   26492 
svchost.exe                  18236 
WmiApSrv.exe                  3256 
svchost.exe                  25880 
chrome.exe                   26268 
python.exe                   13668 
WmiPrvSE.exe                 15308 
cmd.exe                      27920 
tasklist.exe                 28048 
